SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21(d)
4217,Yemen,0,10,0,10,10,10,0,0,10,10,0,20,30,30,30,20,0
5101,Myanmar,180,330,700,940,880,750,520,840,1070,790,990,850,700,740,1210,890,-100
5102,Cambodia,250,300,370,320,390,570,430,540,410,530,540,640,630,880,770,650,-300
5103,Laos,30,-20,60,30,40,70,10,20,0,20,30,40,40,20,30,40,-60
5104,Thailand,340,580,1040,1020,1070,810,450,450,760,1100,1150,1530,1600,1020,1200,580,-890
5105,Vietnam,1110,1330,2080,3170,3830,2750,1960,1500,3150,3600,2700,2910,2920,2570,3030,2640,-1230
5201,Brunei,30,10,50,50,20,0,0,10,0,-10,20,40,20,30,20,-10,-30
5202,Indonesia,270,290,400,620,700,730,450,370,120,210,390,740,1110,1000,1100,750,-1620
5203,Malaysia,1650,1610,1920,2340,2110,1770,1530,1690,1410,1700,3640,6830,6520,5430,1360,20,-2970
5204,Philippines,1290,1650,2210,2510,2430,1920,1880,2660,2820,2780,2710,3170,3410,3300,4990,4390,-70
5205,Singapore,910,650,750,870,680,630,460,530,730,270,650,480,720,530,340,-220,-610
5206,Timor-Leste,20,20,-10,-20,-10,-10,10,30,10,20,10,-10,20,10,30,470,-50
6101,China,5890,6090,8450,11550,11140,9290,5900,5590,7560,10790,13990,16460,17850,16540,8260,-4970,-21830
6102,Hong Kong,190,70,140,320,280,160,60,160,490,500,510,540,550,470,560,780,-120
6103,Macau,10,20,30,50,50,30,-10,-40,-10,-10,10,30,40,20,40,-20,-70
6104,Mongolia,50,0,20,20,30,-10,0,10,10,30,40,50,50,100,130,50,-120
6105,Taiwan,30,170,120,270,330,130,400,890,1570,830,300,460,680,1030,120,-1120,-1250
6201,Japan,320,150,240,200,120,40,120,340,220,300,280,390,310,20,60,-180,-520
6202,"Korea, North",-10,0,-10,-20,-10,0,-10,0,0,10,0,10,0,0,-10,0,-10
6203,"Korea, South",720,1220,1330,1450,1160,450,180,640,650,420,540,590,670,550,110,-870,-1110
7101,Bangladesh,450,410,520,540,430,440,380,360,520,480,530,550,580,660,620,610,-300
7102,Bhutan,0,-10,20,10,50,130,140,80,40,90,70,40,90,110,80,130,-10
7103,India,6540,9500,17880,20860,25780,9280,2850,6190,7400,10980,13490,15140,20520,23570,31670,24270,-7130
7104,Maldives,10,0,-10,0,20,20,0,10,10,10,40,10,-10,0,10,20,-20
7105,Nepal,80,110,530,1410,2710,530,100,360,520,1180,1110,1140,2440,3510,4280,2490,-530
7106,Pakistan,500,750,1210,1280,1280,1280,1350,1890,2110,2300,2390,2300,2470,2920,2820,1870,-830
7107,Sri Lanka,1500,2190,3080,3850,3640,2200,1760,2030,2110,1860,2300,2460,3530,3590,4230,3970,-1080
7201,Afghanistan,340,700,760,630,530,540,720,600,900,1280,1140,1160,1230,1480,1380,1440,410
7202,Armenia,0,10,10,10,0,10,0,10,0,20,10,10,10,0,0,10,0
7203,Azerbaijan,10,10,0,10,10,0,10,0,10,10,10,10,10,10,0,0,-10
7204,Georgia,10,10,10,0,10,10,0,20,20,20,0,10,10,10,10,10,10
7205,Kazakhstan,10,20,20,30,20,30,20,40,30,30,40,10,40,30,30,30,-10
7206,Kyrgyzstan,10,10,0,10,10,10,10,0,0,0,10,0,10,0,20,0,-10
7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7211,Uzbekistan,20,10,30,30,30,10,20,20,20,20,10,20,20,20,30,20,-10
8101,Bermuda,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0
8102,Canada,390,390,320,440,320,300,480,510,330,360,390,420,230,270,270,200,-260
8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,USA,830,820,1130,680,480,740,1120,1700,1050,690,660,660,930,630,460,820,-480
8201,Argentina,50,30,50,40,10,80,40,70,130,100,100,110,160,210,310,390,-90
8202,Bolivia,10,0,0,0,10,10,0,10,10,0,0,0,10,10,20,10,-10
8203,Brazil,70,230,280,270,220,200,60,170,250,660,50,700,950,830,660,260,-360
8204,Chile,40,40,70,60,110,90,90,150,120,70,100,150,280,340,310,300,-140
8205,Colombia,110,200,350,370,430,360,150,370,500,430,560,910,1280,1240,1780,1500,-610
8206,Ecuador,0,10,0,10,10,20,10,10,70,170,10,-80,-20,20,10,40,-20
8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8211,Guyana,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
8212,Paraguay,0,10,0,0,0,10,0,0,0,0,0,0,20,10,10,0,-10
8213,Peru,50,90,100,110,90,50,40,80,40,40,20,30,60,90,90,110,-20
8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8215,Uruguay,20,10,10,0,0,0,10,10,0,0,10,20,20,20,30,10,-20
8216,Venezuela,20,30,60,80,80,150,120,110,90,90,130,150,180,40,20,70,-20
8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8302,Costa Rica,0,0,0,10,0,0,0,10,0,10,0,0,10,10,10,0,0
8303,El Salvador,20,20,20,20,30,20,40,10,30,10,10,20,20,30,20,10,0
8304,Guatemala,0,0,0,0,10,0,10,0,10,0,10,10,10,0,10,0,-10
8305,Honduras,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0
8306,Mexico,60,60,110,80,90,100,120,120,120,80,140,180,170,150,140,100,-80
8307,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
8308,Panama,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8404,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8405,Barbados,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0
8406,Cayman Islands,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0
8407,Cuba,10,10,10,10,10,10,10,20,10,0,10,0,0,0,0,10,0
8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8411,Dominican Rep,0,10,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0
8412,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8413,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
