CED_NAME21,Religion,Denomination,Sex,persons
Cowper,Christianity,Assyrian Apostolic,M,0
Cowper,Christianity,Baptist,F,977
Cowper,Christianity,Baptist,M,882
Cowper,Christianity,Brethren,F,7
Cowper,Christianity,Brethren,M,4
Cowper,Christianity,Catholic,F,17184
Cowper,Christianity,Catholic,M,14513
Cowper,Christianity,Churches Of Christ,F,51
Cowper,Christianity,Churches Of Christ,M,37
Cowper,Christianity,Eastern Orthodox,F,209
Cowper,Christianity,Eastern Orthodox,M,214
Cowper,Christianity,Jehovah's Witnesses,F,573
Cowper,Christianity,Jehovah's Witnesses,M,440
Cowper,Christianity,Latter Day Saints,F,71
Cowper,Christianity,Latter Day Saints,M,59
Cowper,Christianity,Lutheran,F,209
Cowper,Christianity,Lutheran,M,140
Cowper,Christianity,Oriental Orthodox,F,34
Cowper,Christianity,Oriental Orthodox,M,36
Cowper,Christianity,Pentecostal,F,1137
Cowper,Christianity,Pentecostal,M,894
Cowper,Christianity,Presbyterian Reformed,F,2556
Cowper,Christianity,Presbyterian Reformed,M,2152
Cowper,Christianity,Protestant (Other),F,465
Cowper,Christianity,Protestant (Other),M,419
Cowper,Christianity,Salvation Army,F,337
Cowper,Christianity,Salvation Army,M,230
Cowper,Christianity,Seventh Day Adventist,F,608
Cowper,Christianity,Seventh Day Adventist,M,485
Cowper,Christianity,Uniting Church,F,3137
Cowper,Christianity,Uniting Church,M,2252
Cowper,Hinduism,NA,F,371
Cowper,Hinduism,NA,M,411
Cowper,Islam,NA,F,251
Cowper,Islam,NA,M,270
Cowper,Judaism,NA,F,75
Cowper,Judaism,NA,M,77
Cowper,No religion,NA,F,33006
Cowper,No religion,NA,M,34729
Cunningham,(Other),NA,F,4647
Cunningham,(Other),NA,M,4797
Cunningham,(Other),(Other),F,310
Cunningham,(Other),(Other),M,203
Cunningham,(Other),Australian Aboriginal Traditional,F,8
Cunningham,(Other),Australian Aboriginal Traditional,M,8
Cunningham,(Other),Other spiritual beliefs,F,228
Cunningham,(Other),Other spiritual beliefs,M,136
Cunningham,(Other),Secular beliefs,F,295
Cunningham,(Other),Secular beliefs,M,334
Cunningham,(Other),Sikhism,F,125
Cunningham,(Other),Sikhism,M,135
Cunningham,Buddhism,NA,F,1232
Cunningham,Buddhism,NA,M,854
Cunningham,Christianity,NA,F,2414
Cunningham,Christianity,NA,M,2262
Cunningham,Christianity,(Other),F,49
Cunningham,Christianity,(Other),M,49
Cunningham,Christianity,Anglican,F,10470
Cunningham,Christianity,Anglican,M,8589
Cunningham,Christianity,Assyrian Apostolic,F,7
Cunningham,Christianity,Assyrian Apostolic,M,7
Cunningham,Christianity,Baptist,F,707
Cunningham,Christianity,Baptist,M,624
Cunningham,Christianity,Brethren,F,150
Cunningham,Christianity,Brethren,M,144
Cunningham,Christianity,Catholic,F,19303
Cunningham,Christianity,Catholic,M,17069
Cunningham,Christianity,Churches Of Christ,F,77
Cunningham,Christianity,Churches Of Christ,M,53
Cunningham,Christianity,Eastern Orthodox,F,3634
Cunningham,Christianity,Eastern Orthodox,M,3565
Cunningham,Christianity,Jehovah's Witnesses,F,316
Cunningham,Christianity,Jehovah's Witnesses,M,226
Cunningham,Christianity,Latter Day Saints,F,94
Cunningham,Christianity,Latter Day Saints,M,75
Cunningham,Christianity,Lutheran,F,244
Cunningham,Christianity,Lutheran,M,179
Cunningham,Christianity,Oriental Orthodox,F,143
Cunningham,Christianity,Oriental Orthodox,M,159
Cunningham,Christianity,Pentecostal,F,728
Cunningham,Christianity,Pentecostal,M,568
Cunningham,Christianity,Presbyterian Reformed,F,1473
Cunningham,Christianity,Presbyterian Reformed,M,1243
Cunningham,Christianity,Protestant (Other),F,310
Cunningham,Christianity,Protestant (Other),M,260
Cunningham,Christianity,Salvation Army,F,191
Cunningham,Christianity,Salvation Army,M,132
Cunningham,Christianity,Seventh Day Adventist,F,102
Cunningham,Christianity,Seventh Day Adventist,M,79
Cunningham,Christianity,Uniting Church,F,2243
Cunningham,Christianity,Uniting Church,M,1624
Cunningham,Hinduism,NA,F,743
Cunningham,Hinduism,NA,M,1047
Cunningham,Islam,NA,F,1870
Cunningham,Islam,NA,M,2073
Cunningham,Judaism,NA,F,71
Cunningham,Judaism,NA,M,76
Cunningham,No religion,NA,F,29937
Cunningham,No religion,NA,M,33002
