Year,StateAb,DivisionNm,PartyAb,OrdinaryVotes,Percentage
2007,QLD,Flynn,ALP,28218,46.87920522319871
2007,QLD,Flynn,COAL,27904,46.35754988121543
2007,QLD,Flynn,GRN,1149,1.90885983419999
2007,QLD,Flynn,Other,1510,2.5085973452062533
2007,QLD,Flynn,Other Right,1412,2.3457877161796223
2007,QLD,Forde,ALP,28936,44.8557565611
2007,QLD,Forde,COAL,29716,46.064890170363824
2007,QLD,Forde,GRN,2976,4.613309770729666
2007,QLD,Forde,Other,945,1.4649118727619401
2007,QLD,Forde,Other Right,1936,3.001131625044567
2007,QLD,Griffith,ALP,35267,53.45833775446787
2007,QLD,Griffith,COAL,22451,34.03161995422231
2007,QLD,Griffith,GRN,5183,7.856482393779085
2007,QLD,Griffith,Other,2205,3.3423777114186537
2007,QLD,Griffith,Other Left,236,0.35773294326294885
2007,QLD,Griffith,Other Right,629,0.9534492428491307
2007,QLD,Groom,ALP,24354,35.61984438074065
2007,QLD,Groom,COAL,35527,51.961329199087345
2007,QLD,Groom,GRN,3276,4.791435090387878
2007,QLD,Groom,Other,2106,3.0802082723922073
2007,QLD,Groom,Other Right,3109,4.547183057391915
2007,QLD,Herbert,ALP,30536,44.470982305395765
2007,QLD,Herbert,COAL,30972,45.105949173523626
2007,QLD,Herbert,GRN,3483,5.072453214883857
2007,QLD,Herbert,Other,1543,2.2471419209204107
2007,QLD,Herbert,Other Right,2131,3.1034733852763416
2007,QLD,Hinkler,ALP,28294,43.43434343434343
2007,QLD,Hinkler,COAL,29856,45.83218200239477
2007,QLD,Hinkler,GRN,2731,4.192379724294618
2007,QLD,Hinkler,Other,1921,2.9489423106444383
2007,QLD,Hinkler,Other Right,2340,3.592152528322741
2007,QLD,Kennedy,ALP,19831,28.826641858301596
2007,QLD,Kennedy,COAL,16530,24.028258278338228
2007,QLD,Kennedy,GRN,2162,3.142715934529174
2007,QLD,Kennedy,Other,27708,40.27676832281885
2007,QLD,Kennedy,Other Right,2563,3.7256156060121524
2007,QLD,Leichhardt,ALP,30264,43.95642701525055
2007,QLD,Leichhardt,COAL,28927,42.01452432824982
2007,QLD,Leichhardt,GRN,5074,7.369644153957879
2007,QLD,Leichhardt,Other,3694,5.365286855482934
2007,QLD,Leichhardt,Other Right,891,1.2941176470588236
2007,QLD,Lilley,ALP,34941,51.762143904715344
2007,QLD,Lilley,COAL,25770,38.17608106306386
2007,QLD,Lilley,GRN,4535,6.718219930966031
2007,QLD,Lilley,Other,813,1.2043909159592907
2007,QLD,Lilley,Other Right,1444,2.1391641852954684
2007,QLD,Longman,ALP,33196,48.611050095915886
2007,QLD,Longman,COAL,29650,43.41841292155399
2007,QLD,Longman,GRN,2867,4.198333552988037
2007,QLD,Longman,Other,1050,1.5375829196503097
2007,QLD,Longman,Other Right,1526,2.2346205098917835
2007,QLD,Maranoa,ALP,19150,31.00762641882155
2007,QLD,Maranoa,COAL,35193,56.984407130944476
2007,QLD,Maranoa,GRN,2039,3.301543094933532
2007,QLD,Maranoa,Other,769,1.2451626483589437
2007,QLD,Maranoa,Other Right,4608,7.4612607069414985
2007,QLD,McPherson,ALP,23462,36.05710860778558
2007,QLD,McPherson,COAL,35585,54.68810032427116
2007,QLD,McPherson,GRN,3920,6.024374125927861
2007,QLD,McPherson,Other,1156,1.776575635095053
2007,QLD,McPherson,Other Right,946,1.4538413069203462
2007,QLD,Moncrieff,ALP,19022,30.178800907489965
2007,QLD,Moncrieff,COAL,37688,59.792800368072854
2007,QLD,Moncrieff,GRN,3817,6.0557503450683
2007,QLD,Moncrieff,Other,1079,1.7118560708222939
2007,QLD,Moncrieff,Other Left,260,0.41249543875235994
2007,QLD,Moncrieff,Other Right,1165,1.8482968697942281
2007,QLD,Moreton,ALP,30798,47.66459281270313
2007,QLD,Moreton,COAL,27139,42.001733370476984
2007,QLD,Moreton,GRN,4302,6.657999814281735
2007,QLD,Moreton,Other,1364,2.110997616615594
2007,QLD,Moreton,Other Right,1011,1.5646763859225554
2007,QLD,Oxley,ALP,40313,59.296903728763695
2007,QLD,Oxley,COAL,21921,32.24387732588071
2007,QLD,Oxley,GRN,3376,4.96580127969405
2007,QLD,Oxley,Other,1026,1.5091564315657866
2007,QLD,Oxley,Other Right,1349,1.9842612340957564
2007,QLD,Petrie,ALP,31987,47.40851625142654
2007,QLD,Petrie,COAL,30089,44.595455825465756
2007,QLD,Petrie,GRN,3065,4.542692416000949
2007,QLD,Petrie,Other,933,1.3828163210860962
2007,QLD,Petrie,Other Right,1397,2.0705191860206607
2007,QLD,Rankin,ALP,37388,56.188758641418694
2007,QLD,Rankin,COAL,22678,34.08175533513676
2007,QLD,Rankin,GRN,3067,4.609257589419898
2007,QLD,Rankin,Other,662,0.9948902915539525
2007,QLD,Rankin,Other Right,2745,4.125338142470694
2007,QLD,Ryan,ALP,24747,36.75642758477282
2007,QLD,Ryan,COAL,33405,49.6160529950837
2007,QLD,Ryan,GRN,6192,9.196904659349146
2007,QLD,Ryan,Other,2016,2.9943410518811175
2007,QLD,Ryan,Other Right,967,1.4362737089132147
2007,QLD,Wide Bay,ALP,20055,30.978235684826767
2007,QLD,Wide Bay,COAL,31134,48.09156767945134
2007,QLD,Wide Bay,GRN,5420,8.37207865428876
2007,QLD,Wide Bay,Other,4990,7.70787315219574
2007,QLD,Wide Bay,Other Right,3140,4.8502448292374
2007,SA,Adelaide,ALP,35178,48.71759361843563
2007,SA,Adelaide,COAL,27681,38.335087524927985
2007,SA,Adelaide,GRN,6912,9.572346554398404
2007,SA,Adelaide,Other,1022,1.4153556392643474
2007,SA,Adelaide,Other Right,1415,1.9596166629736318
2007,SA,Barker,ALP,24296,30.401922018119024
2007,SA,Barker,COAL,45384,56.789629110566096
2007,SA,Barker,GRN,3878,4.852595224986236
2007,SA,Barker,Other,1678,2.0997046899244207
2007,SA,Barker,Other Right,4680,5.856148956404224
2007,SA,Boothby,ALP,25104,34.43054641211323
2007,SA,Boothby,COAL,33770,46.31610708799649
2007,SA,Boothby,GRN,7329,10.05184331797235
2007,SA,Boothby,Other,4672,6.407724380074611
2007,SA,Boothby,Other Right,2037,2.793778801843318
2007,SA,Grey,ALP,29295,39.04386187042689
2007,SA,Grey,COAL,37628,50.14993802561608
2007,SA,Grey,GRN,2932,3.9077181431674908
2007,SA,Grey,Other,1745,2.3257053751116206
2007,SA,Grey,Other Right,3431,4.57277658567792
2007,SA,Hindmarsh,ALP,35560,47.68737679196449
2007,SA,Hindmarsh,COAL,30078,40.335796376510345
2007,SA,Hindmarsh,GRN,4970,6.6649680161997615
2007,SA,Hindmarsh,Other,2360,3.1648540278131665
2007,SA,Hindmarsh,Other Right,1601,2.147004787512237
2007,SA,Kingston,ALP,36137,47.1731610208211
2007,SA,Kingston,COAL,30296,39.548332354284966
2007,SA,Kingston,GRN,4218,5.506168004699433
2007,SA,Kingston,Other,1366,1.783173422100385
2007,SA,Kingston,Other Right,4588,5.98916519809412
2007,SA,Makin,ALP,38338,52.07340097523872
2007,SA,Makin,COAL,27879,37.867242573652256
2007,SA,Makin,GRN,3081,4.184833543865368
2007,SA,Makin,Other,1008,1.3691373619656901
2007,SA,Makin,Other Right,3317,4.50538554527797
2007,SA,Mayo,ALP,22826,31.523705616705104
2007,SA,Mayo,COAL,36547,50.4730074990678
2007,SA,Mayo,GRN,8077,11.15469071524258
2007,SA,Mayo,Other,2000,2.7620875857973455
2007,SA,Mayo,Other Right,2959,4.086508583187173
2007,SA,Port Adelaide,ALP,45580,59.07588620309766
2007,SA,Port Adelaide,COAL,19009,24.637418184174713
2007,SA,Port Adelaide,GRN,6669,8.643639427127212
2007,SA,Port Adelaide,Other,1491,1.9324735921197589
2007,SA,Port Adelaide,Other Right,4406,5.710582593480656
2007,SA,Sturt,ALP,30907,42.379574654801246
2007,SA,Sturt,COAL,34013,46.63851142892402
2007,SA,Sturt,GRN,4579,6.278709429719316
2007,SA,Sturt,Other,790,1.0832453482153876
2007,SA,Sturt,Other Right,2640,3.6199591383400294
2007,SA,Wakefield,ALP,36912,49.35155226355055
2007,SA,Wakefield,COAL,28674,38.337299783405086
2007,SA,Wakefield,GRN,2998,4.008342915207102
2007,SA,Wakefield,Other,1465,1.9587132657699815
2007,SA,Wakefield,Other Right,4745,6.344091772067278
2007,TAS,Bass,ALP,20604,37.85134291068083
2007,TAS,Bass,COAL,23607,43.36811551603777
2007,TAS,Bass,GRN,8003,14.702208178711835
2007,TAS,Bass,Other,1165,2.140206488591689
2007,TAS,Bass,Other Right,1055,1.9381269059778814
2007,TAS,Braddon,ALP,25337,44.005418830435765
2007,TAS,Braddon,COAL,25318,43.972419542525664
2007,TAS,Braddon,GRN,4514,7.839936085589732
2007,TAS,Braddon,Other,257,0.44635878909981413
2007,TAS,Braddon,Other Right,2151,3.735866752349028
2007,TAS,Denison,ALP,25764,49.16981564181839
2007,TAS,Denison,COAL,15510,29.600366426199475
2007,TAS,Denison,GRN,9395,17.930073666933854
2007,TAS,Denison,Other,212,0.40459559525172717
2007,TAS,Denison,Other Left,395,0.7538455666246804
2007,TAS,Denison,Other Right,1122,2.141303103171877
2007,TAS,Franklin,ALP,23094,41.89767779390421
2007,TAS,Franklin,COAL,22616,41.030478955007254
2007,TAS,Franklin,GRN,7784,14.121915820029027
2007,TAS,Franklin,Other,196,0.3555878084179971
2007,TAS,Franklin,Other Left,268,0.4862119013062409
2007,TAS,Franklin,Other Right,1162,2.1081277213352685
2007,TAS,Lyons,ALP,23321,43.770645645645644
2007,TAS,Lyons,COAL,17334,32.53378378378378
2007,TAS,Lyons,GRN,5589,10.489864864864865
